nombre;frecuencia
MARIA GUADALUPE;7403 
JESICA;7377 
MONSERRAT;7375 
ANAS;7366 
LAURA MARIA;7351 
ANTONIO LUIS;7325 
NOAH;7320 
CAMILA;7319 
TEODORA;7312 
PEDRO JESUS;7299 
MARIA PINO;7292 
AINOA;7276 
BRAHIM;7235 
FATIHA;7232 
MANEL;7226 
DELIA;7222 
ILDEFONSO;7214 
NESTOR;7209 
HORTENSIA;7199 
ROBERT;7186 
MARIA GEMA;7165 
OIER;7129 
FERNANDA;7120 
INGRID;7119 
TOMASA;7118 
YASMIN;7112 
LILIANA;7065 
MIREYA;7058 
MARIA VALLE;7031 
LUIS ENRIQUE;7021 
AMIR;7017 
ARANTXA;7005 
BENITA;6997 
MALIKA;6990 
LUZ MARIA;6957 
BRAIS;6943 
ANGELICA;6923 
AMIRA;6908 
MARCELO;6901 
ANGEL MANUEL;6895 
JUAN ANGEL;6874 
FRANCESC XAVIER;6872 
MARIA SONIA;6863 
REGINA;6856 
AXEL;6843 
ANTON;6834 
JUNE;6830 
MODESTO;6829 
PEDRO MARIA;6824 
ABDELKADER;6810 
FILOMENA;6760 
NOEL;6745 
IMANOL;6741 
MARIA DESAMPARADOS;6697 
MARIA ESTRELLA;6694 
JULIETA;6680 
INES MARIA;6680 
FLORA;6664 
NAGORE;6630 
FLORENTINO;6619 
MARIA ELISA;6568 
PAULINA;6508 
FUENSANTA;6502 
CONSTANTINO;6481 
MARIA SOCORRO;6468 
BERNAT;6397 
ANAIS;6379 
MARIA OLGA;6368 
FERNANDO JOSE;6355 
MAX;6349 
ANDONI;6341 
PAULINO;6328 
RICARD;6316 
JUAN ALBERTO;6310 
ELADIO;6306 
ROBERTO CARLOS;6305 
MARCELINA;6289 
DIDAC;6278 
KARIMA;6277 
IRATXE;6263 
ABDERRAHIM;6252 
MAIDER;6249 
IRYNA;6235 
IDOIA;6232 
CARMEN ROSA;6222 
RACHIDA;6206 
NICOLE;6178 
ISMAIL;6168 
FLORENCIA;6164 
