division;anio;salario;resto_costes
61;2014;42735.99;8.93
61;2013;43180.32;69.72
61;2012;42667.73;39.22
61;2011;42525.92;15.53
61;2010;41842.29;61.23
61;2009;42485.23;174.33
61;2008;40265.28;233.44
62;2023;40753.88;162.82
62;2022;38207.71;182.90
62;2021;37596.18;207.73
62;2020;35040.44;166.40
62;2019;34546.12;216.38
62;2018;32762.90;234.41
62;2017;31628.43;114.02
62;2016;31287.96;107.71
62;2015;31483.40;15.72
62;2014;31461.20;13.09
62;2013;31473.15;50.80
62;2012;30527.76;42.66
62;2011;30340.81;54.26
62;2010;29896.86;334.26
62;2009;28835.90;310.31
62;2008;27765.68;230.19
63;2023;38385.67;193.12
63;2022;33121.34;114.60
63;2021;29724.09;105.34
63;2020;29731.55;208.61
63;2019;27593.10;200.26
63;2018;26234.62;263.95
63;2017;25724.04;383.39
63;2016;26543.97;323.65
63;2015;26713.66;353.53
63;2014;26729.04;313.78
63;2013;26340.01;389.85
63;2012;27949.08;440.27
63;2011;25737.32;335.95
63;2010;24723.33;240.18
63;2009;23398.63;346.70
63;2008;24827.40;94.27
64;2023;58989.71;355.51
64;2022;58916.09;427.59
64;2021;56381.42;1183.44
64;2020;55716.44;443.39
64;2019;54734.88;1069.00
64;2018;55771.45;373.69
64;2017;53598.49;1004.06
64;2016;50884.19;1207.18
64;2015;50201.64;1178.81
64;2014;48760.42;1017.70
64;2013;47882.48;929.73
64;2012;51963.32;1163.89
64;2011;49379.84;756.59
64;2010;48926.32;608.54
64;2009;46992.93;586.69
64;2008;46951.35;567.21
65;2023;45000.55;132.66
65;2022;43365.72;175.33
65;2021;42239.26;181.41
65;2020;41162.82;122.79
65;2019;39458.85;242.27
65;2018;38830.39;159.86
65;2017;36449.55;192.14
65;2016;36275.81;162.68
65;2015;36337.34;47.49
65;2014;36255.75;101.27
65;2013;36022.15;32.49
65;2012;35221.04;41.70
65;2011;34977.71;93.31
65;2010;34518.32;160.25
65;2009;34072.97;129.65
65;2008;33611.47;191.48
66;2023;34922.90;100.67
66;2022;33150.43;123.78
66;2021;32142.10;133.82
66;2020;30633.16;153.93
66;2019;30953.48;135.93
66;2018;31810.59;71.69
66;2017;30131.64;218.12
66;2016;28834.79;208.10
66;2015;29628.01;114.72
66;2014;29763.84;127.00
66;2013;29181.13;362.27
66;2012;30576.90;343.21
66;2011;30069.27;232.21
66;2010;27285.26;344.66
66;2009;26690.72;293.28
66;2008;27664.37;231.60
68;2023;28478.49;146.62
68;2022;26612.48;134.72
68;2021;24430.06;116.77
68;2020;24463.95;163.65
68;2019;23369.87;187.73
68;2018;21767.48;206.93
68;2017;21662.44;222.78
68;2016;20664.14;291.92
68;2015;20187.53;208.13
68;2014;19488.52;206.61
68;2013;20262.18;252.74
68;2012;21086.75;330.93
68;2011;21587.82;280.34
68;2010;20978.43;392.32
68;2009;19569.28;288.91
68;2008;20037.72;263.45
69;2023;33866.27;148.18
69;2022;31962.16;185.24
69;2021;30936.29;167.62
69;2020;29104.32;161.71
69;2019;29056.19;121.54
69;2018;28920.51;141.89
69;2017;27158.93;136.11
69;2016;27183.82;209.41
69;2015;26338.05;79.38
69;2014;24630.22;173.66
69;2013;23991.54;239.33
69;2012;24285.06;283.69
69;2011;24338.63;227.22
69;2010;24465.73;230.95
69;2009;24568.29;237.44
69;2008;24833.99;222.53
70;2023;39339.08;263.54
70;2022;34773.56;293.78
70;2021;32115.25;223.98
70;2020;32115.85;101.14
70;2019;31724.94;238.91
70;2018;30048.25;162.08
70;2017;30865.89;25.35
70;2016;29126.41;144.32
70;2015;28048.42;2.14
70;2014;28807.97;230.29
70;2013;29407.56;233.66
70;2012;27033.70;218.36
70;2011;28922.91;204.48
70;2010;29767.58;250.89
70;2009;29650.66;174.04
70;2008;25660.34;252.67
71;2023;34168.31;83.27
71;2022;32954.80;105.58
71;2021;32504.12;168.76
71;2020;31287.00;207.31
71;2019;32348.69;302.83
71;2018;31464.80;319.75
71;2017;31812.19;207.90
71;2016;32102.85;230.72
71;2015;31342.02;193.82
71;2014;30577.66;240.05
71;2013;30220.56;155.40
71;2012;29223.84;252.41
71;2011;27973.24;268.19
71;2010;27337.55;406.50
71;2009;27097.38;418.05
71;2008;24975.19;335.68
72;2023;34724.24;201.97
72;2022;34380.20;171.64
72;2021;33492.97;152.12
72;2020;33269.22;165.76
72;2019;32904.24;174.59
72;2018;32763.07;153.32
72;2017;31807.59;25.74
72;2016;30624.18;28.94
72;2015;29998.69;159.31
72;2014;30438.37;109.76
72;2013;29193.19;183.44
72;2012;28857.63;58.03
72;2011;29490.41;140.61
72;2010;29057.25;153.02
72;2009;29363.43;141.10
72;2008;30491.23;148.68
73;2023;32899.15;95.09
73;2022;31664.23;101.57
73;2021;27988.75;139.08
73;2020;25555.22;148.99
73;2019;26801.42;134.42
73;2018;27189.21;184.23
73;2017;25325.27;105.65
73;2016;23491.64;139.49
73;2015;23366.07;139.15
73;2014;23490.80;94.57
73;2013;24537.13;181.02
73;2012;24486.97;319.09
73;2011;26283.14;336.03
73;2010;25146.37;361.25
73;2009;25648.60;368.44
73;2008;26065.56;319.30
74;2023;28266.80;61.34
74;2022;25972.66;16.56
74;2021;24604.31;34.70
74;2020;22584.29;170.64
74;2019;22975.82;128.23
74;2018;21631.00;151.99
74;2017;21675.67;263.30
74;2016;21997.29;290.59
74;2015;23508.82;396.93
74;2014;22733.37;426.51
74;2013;22492.94;295.32
74;2012;21324.85;321.60
74;2011;21148.25;287.38
74;2010;20289.96;213.57
74;2009;19202.48;293.16
74;2008;16925.38;126.73
75;2023;19149.47;72.84
75;2022;18537.95;62.31
75;2021;16892.82;61.40
75;2020;14985.40;1.01
75;2019;13980.50;52.24
75;2018;13089.03;90.76
75;2017;13001.43;103.49
75;2016;13281.58;80.00
75;2015;12656.25;156.22
75;2014;12501.57;149.05
75;2013;12475.76;240.34
75;2012;12621.26;158.32
75;2011;12714.81;158.70
75;2010;12693.13;239.19
75;2009;13140.60;177.57
75;2008;13615.95;96.72
77;2023;27685.48;301.74
77;2022;25440.40;335.04
77;2021;23536.88;247.62
77;2020;21021.75;271.68
77;2019;23637.82;256.16
77;2018;23279.28;206.36
77;2017;23299.67;265.92
77;2016;22388.07;345.69
77;2015;22066.66;283.97
77;2014;22287.95;215.58
77;2013;22434.19;371.00
77;2012;21603.12;442.06
77;2011;21058.93;451.19
77;2010;20451.03;453.51
77;2009;20777.24;507.06
77;2008;19004.70;734.15
78;2023;20706.16;389.49
78;2022;19157.21;386.71
78;2021;19191.45;421.36
